zClientR,zCategoria,Urgency,Source
AUDITORÍA SUPERIOR DE LA FEDERACIÓN,Modificación (Cambio de resguardo),Baja,Ventanilla
,Core (procesos sustantivos),Media,Correo-e
,Gestión (procesos adjetivos),Alta,Teléfono
,Contenidos (compartir y administrar),Crítica,Portal
,Configuración de equipo informático,,
,Acceso a Internet,,
,Correo,,
,Atención de requerimientos funcionales de usuarios (modificación a sistema productivo),,
,Red,,
,Telefonía,,
,,,
,VPN Sitio-a-Sitio,,
,Adquiscion de Bienes y/o Servicios,,
,Reportes de Comportamiento,,
,Acceso a puertos específicos,,
,Administración de Bases de Datos,,
,Analítica,,
,Mantenimiento preventivo,,
,Renovacion de Bienes y/o Servicios,,
,Chat/Llamadas/Video,,
,Videoconferencia,,
,Digitalización de documentos,,
,Administración de la Infraestructura de Servidores,,
,Respaldo de información (usuarios críticos � PCs),,
,Atención a desarrollo de proyectos (nuevo requerimiento),,
,Configuración de Ambientes,,
,VPN interna,,
,Hospedaje de infraestructura,,
,NO USAR Revisión,,
,Informes de comportamiento,,
,NO USAR Inicio de Sesión,,
,NO USAR No Envía ni Recibe Correos,,
